"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","323","Sign-in link navigates to login page","chromium","Tue Apr 07 07:12:42 UTC 2026","passed","Tue Apr 07 07:12:42 UTC 2026","Navbar — Unauthenticated","navbar_test.spec.ts","",""
"","893","Admin can navigate to product detail","chromium","Tue Apr 07 07:13:22 UTC 2026","passed","Tue Apr 07 07:13:23 UTC 2026","Products — Authenticated Admin","products_test.spec.ts","",""
"","527","Valid registration redirects to dashboard page","chromium","Tue Apr 07 07:13:26 UTC 2026","passed","Tue Apr 07 07:13:27 UTC 2026","Register","register_test.spec.ts","",""
"","5","returns HTTP 400 for non-numeric product id","","Tue Apr 07 07:12:11 UTC 2026","passed","Tue Apr 07 07:12:11 UTC 2026","Product Endpoints > GET /api/products/:id","products_test.spec.ts","",""
"","454","invalid email format stays on login page","chromium","Tue Apr 07 07:12:36 UTC 2026","passed","Tue Apr 07 07:12:36 UTC 2026","Login","login_test.spec.ts","",""
"","37974","Step 2: Login","","Tue Apr 07 07:15:36 UTC 2026","passed","Tue Apr 07 07:16:14 UTC 2026","","k6 Performance Tests","",""
"Verify create order fails with empty items array","15","testCreateOrderEmptyItems","API Test Suite","Tue Apr 07 07:12:23 UTC 2026","passed","Tue Apr 07 07:12:23 UTC 2026","com.automationlab.tests.OrderTest","API Tests","com.automationlab.tests.OrderTest","testCreateOrderEmptyItems"
"Unauthenticated access to orders redirects to login — AUT Bug A","228","unauthenticatedAccessToOrdersRedirectsToLogin","SQA Automation Lab — Selenium UI Suite","Tue Apr 07 07:17:39 UTC 2026","passed","Tue Apr 07 07:17:39 UTC 2026","com.sqa.ui.tests.OrdersTest","UI Tests","com.sqa.ui.tests.OrdersTest","unauthenticatedAccessToOrdersRedirectsToLogin"
"","833","Sign-out clears session and redirects to login","chromium","Tue Apr 07 07:12:48 UTC 2026","passed","Tue Apr 07 07:12:49 UTC 2026","Navbar — Authenticated Admin","navbar_test.spec.ts","",""
"","496","Clear button resets search results","chromium","Tue Apr 07 07:13:18 UTC 2026","passed","Tue Apr 07 07:13:18 UTC 2026","Products — Unauthenticated","products_test.spec.ts","",""
"","4","test_update_own_last_name","tests","Tue Apr 07 07:12:23 UTC 2026","passed","Tue Apr 07 07:12:23 UTC 2026","TestUpdateUser","user_test","",""
"","4","test_list_users_pagination_metadata","tests","Tue Apr 07 07:12:23 UTC 2026","passed","Tue Apr 07 07:12:23 UTC 2026","TestListUsers","user_test","",""
"","321","returns HTTP 400 for invalid status value","","Tue Apr 07 07:12:07 UTC 2026","passed","Tue Apr 07 07:12:07 UTC 2026","Order Endpoints > PATCH /api/orders/:id/status","orders_test.spec.ts","",""
"","815","User orders page displays order cards","chromium","Tue Apr 07 07:13:03 UTC 2026","passed","Tue Apr 07 07:13:04 UTC 2026","Orders — Authenticated User","orders_test.spec.ts","",""
"Empty first name shows validation error — AUT Bug C","11826","emptyFirstNameShowsValidationError","SQA Automation Lab — Selenium UI Suite","Tue Apr 07 07:14:00 UTC 2026","failed","Tue Apr 07 07:14:12 UTC 2026","com.sqa.ui.tests.RegisterTest","UI Tests","com.sqa.ui.tests.RegisterTest","emptyFirstNameShowsValidationError"
"","38857","POST /api/auth/register","","Tue Apr 07 07:12:48 UTC 2026","passed","Tue Apr 07 07:13:27 UTC 2026","","k6 Performance Tests","",""
"","256","partial update — stock quantity — is supported","","Tue Apr 07 07:12:14 UTC 2026","passed","Tue Apr 07 07:12:14 UTC 2026","Product Endpoints > PUT /api/products/:id","products_test.spec.ts","",""
"","10","test_status_update_changes_updated_at","tests","Tue Apr 07 07:12:21 UTC 2026","passed","Tue Apr 07 07:12:21 UTC 2026","TestUpdateOrderStatus","orders_test","",""
"","734","Sign in link is not visible","chromium","Tue Apr 07 07:12:45 UTC 2026","passed","Tue Apr 07 07:12:45 UTC 2026","Navbar — Authenticated Admin","navbar_test.spec.ts","",""
